step,fl_shoulder_joint_rad,fr_shoulder_joint_rad,bl_shoulder_joint_rad,br_shoulder_joint_rad,fl_thigh_joint_rad,fr_thigh_joint_rad,bl_thigh_joint_rad,br_thigh_joint_rad,fl_calf_joint_rad,fr_calf_joint_rad,bl_calf_joint_rad,br_calf_joint_rad,fl_shoulder_joint_deg,fr_shoulder_joint_deg,bl_shoulder_joint_deg,br_shoulder_joint_deg,fl_thigh_joint_deg,fr_thigh_joint_deg,bl_thigh_joint_deg,br_thigh_joint_deg,fl_calf_joint_deg,fr_calf_joint_deg,bl_calf_joint_deg,br_calf_joint_deg,fl_shoulder_joint_servo,fr_shoulder_joint_servo,bl_shoulder_joint_servo,br_shoulder_joint_servo,fl_thigh_joint_servo,fr_thigh_joint_servo,bl_thigh_joint_servo,br_thigh_joint_servo,fl_calf_joint_servo,fr_calf_joint_servo,bl_calf_joint_servo,br_calf_joint_servo
30,-0.300000,-0.300000,0.300000,-0.034178,-0.069995,-0.395634,-0.782265,0.399559,0.520399,0.701041,0.108225,1.570796,-17.189,-17.189,17.189,-1.958,-4.010,-22.668,-44.820,22.893,29.817,40.167,6.201,90.000,1851.4,1851.4,2242.6,2069.3,2092.6,2304.9,1537.0,2307.5,2386.2,1590.0,1976.4,1023.0
31,-0.208230,-0.300000,0.300000,-0.273038,-0.428971,-0.599674,-0.404052,-0.339754,1.010051,1.075188,-0.150000,1.570796,-11.931,-17.189,17.189,-15.644,-24.578,-34.359,-23.150,-19.466,57.872,61.604,-8.594,90.000,1911.3,1851.4,2242.6,2225.0,2326.6,2437.9,1783.6,1825.5,2705.5,1346.1,2144.8,1023.0
32,-0.060922,-0.300000,0.300000,-0.300000,-0.463897,-0.674694,-0.473289,-0.415239,0.888770,1.121465,-0.150000,1.570796,-3.491,-17.189,17.189,-17.189,-26.579,-38.657,-27.117,-23.791,50.923,64.255,-8.594,90.000,2007.3,1851.4,2242.6,2242.6,2349.4,2486.8,1738.5,1776.3,2626.4,1315.9,2144.8,1023.0
33,0.113350,-0.300000,0.300000,-0.300000,-0.348380,-0.621360,-0.191512,-0.184824,0.573821,1.570796,-0.150000,1.570796,6.494,-17.189,17.189,-17.189,-19.961,-35.601,-10.973,-10.590,32.878,90.000,-8.594,90.000,2120.9,1851.4,2242.6,2242.6,2274.1,2452.1,1922.2,1926.5,2421.1,1023.0,2144.8,1023.0
34,0.050889,-0.032333,-0.300000,-0.124950,0.160001,-1.097315,0.025484,0.433091,-0.075260,1.570796,-0.150000,1.570796,2.916,-1.853,-17.189,-7.159,9.167,-62.872,1.460,24.814,-4.312,90.000,-8.594,90.000,2080.2,2025.9,1851.4,2128.5,1942.7,2762.3,2063.6,2329.3,1997.9,1023.0,2144.8,1023.0
35,0.104540,-0.299765,-0.300000,0.247739,0.534288,-0.658085,-0.102150,0.600000,1.570796,0.341775,0.430627,0.313414,5.990,-17.175,-17.189,14.194,30.612,-37.705,-5.853,34.377,90.000,19.582,24.673,17.957,2115.1,1851.6,1851.4,1885.5,1698.7,2476.0,1980.4,2438.1,3071.0,1824.2,1766.3,1842.7
36,0.300000,0.292521,-0.300000,0.300000,0.290934,-0.492355,0.179932,-0.209429,0.630077,0.107808,1.088872,-0.150000,17.189,16.760,-17.189,17.189,16.669,-28.210,10.309,-11.999,36.101,6.177,62.388,-8.594,2242.6,2237.7,1851.4,1851.4,1857.3,2368.0,2164.3,1910.5,2457.7,1976.7,1337.2,2144.8
37,0.156245,0.288381,-0.300000,0.300000,0.032828,-0.626623,0.218109,-0.028107,0.837727,-0.150000,0.667436,-0.150000,8.952,16.523,-17.189,17.189,1.881,-35.903,12.497,-1.610,47.998,-8.594,38.241,-8.594,2148.9,2235.0,1851.4,1851.4,2025.6,2455.5,2189.2,2028.7,2593.1,2144.8,1611.9,2144.8
38,0.083996,0.273044,-0.300000,0.300000,0.118798,-0.639533,0.189922,-0.001972,0.808532,-0.150000,0.598474,-0.150000,4.813,15.644,-17.189,17.189,6.807,-36.643,10.882,-0.113,46.325,-8.594,34.290,-8.594,2101.8,2225.0,1851.4,1851.4,1969.6,2463.9,2170.8,2045.7,2574.1,2144.8,1656.9,2144.8
39,0.020338,0.260737,-0.300000,0.300000,0.197470,-0.769221,0.057867,0.200589,0.990861,-0.150000,0.355580,-0.150000,1.165,14.939,-17.189,17.189,11.314,-44.073,3.316,11.493,56.772,-8.594,20.373,-8.594,2060.3,2217.0,1851.4,1851.4,1918.3,2548.5,2084.7,2177.8,2692.9,2144.8,1815.2,2144.8
